2023-01-24 18:01:32.315 [info] Extension host with pid 1201 started
2023-01-24 18:01:32.315 [info] Skipping acquiring lock for /home/shane/.config/Code/User/workspaceStorage/6364fa65aacf3ac04bc5f11d7c3bd7f2.
2023-01-24 18:01:32.362 [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
2023-01-24 18:01:32.363 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2023-01-24 18:01:32.391 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-01-24 18:01:32.409 [info] Eager extensions activated
2023-01-24 18:01:32.422 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-01-24 18:01:32.422 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
2023-01-24 18:01:32.423 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-01-24 18:01:32.423 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2023-01-24 18:01:32.423 [info] ExtensionService#_doActivateExtension zhuangtongfa.material-theme, startup: false, activationEvent: 'onStartupFinished'
2023-01-24 18:01:32.476 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
